GEN_NUM     POP_SIZE    BEST_FIT    AVG_FIT     STD_DEV_FIT 
281         1600        0.624       0.330       0.210       
282         1600        0.624       0.331       0.211       
283         1600        0.624       0.325       0.213       
284         1600        0.624       0.323       0.212       
285         1600        0.661       0.321       0.216       
286         1600        0.644       0.318       0.216       
287         1600        0.644       0.314       0.214       
288         1600        0.644       0.319       0.211       
289         1600        0.668       0.325       0.217       
290         1600        0.668       0.334       0.217       
291         1600        0.668       0.325       0.220       
292         1600        0.668       0.322       0.218       
293         1600        0.680       0.337       0.219       
294         1600        0.680       0.338       0.223       
295         1600        0.680       0.334       0.220       
296         1600        0.680       0.337       0.221       
297         1600        0.680       0.331       0.226       
298         1600        0.687       0.333       0.230       
299         1600        0.697       0.338       0.227       
300         1600        0.705       0.344       0.231       
301         1600        0.705       0.347       0.233       
302         1600        0.712       0.343       0.232       
303         1600        0.712       0.353       0.234       
304         1600        0.712       0.350       0.232       
305         1600        0.712       0.353       0.234       
306         1600        0.712       0.364       0.232       
307         1600        0.712       0.378       0.235       
308         1600        0.712       0.363       0.243       
309         1600        0.723       0.373       0.239       
310         1600        0.723       0.365       0.246       
311         1600        0.723       0.381       0.242       
312         1600        0.731       0.370       0.251       
313         1600        0.731       0.375       0.251       
314         1600        0.731       0.378       0.248       
315         1600        0.731       0.376       0.249       
316         1600        0.731       0.390       0.250       
317         1600        0.731       0.391       0.253       
318         1600        0.731       0.385       0.251       
319         1600        0.731       0.378       0.254       
320         1600        0.731       0.398       0.256       
321         1600        0.731       0.393       0.260       
322         1600        0.731       0.382       0.261       
323         1600        0.731       0.390       0.259       
324         1600        0.731       0.390       0.262       
325         1600        0.731       0.388       0.263       
326         1600        0.731       0.407       0.262       
327         1600        0.738       0.411       0.264       
328         1600        0.743       0.410       0.265       
329         1600        0.745       0.398       0.270       
330         1600        0.745       0.420       0.266       
331         1600        0.762       0.412       0.271       
332         1600        0.750       0.405       0.273       
333         1600        0.761       0.421       0.271       
334         1600        0.761       0.433       0.269       
335         1600        0.772       0.415       0.278       
336         1600        0.772       0.430       0.273       
337         1600        0.772       0.437       0.276       
338         1600        0.772       0.439       0.275       
339         1600        0.772       0.422       0.278       
340         1600        0.772       0.438       0.275       
341         1600        0.800       0.442       0.275       
342         1600        0.800       0.438       0.281       
343         1600        0.782       0.439       0.277       
344         1600        0.782       0.447       0.278       
345         1600        0.793       0.438       0.282       
346         1600        0.793       0.450       0.282       
347         1600        0.793       0.453       0.282       
348         1600        0.793       0.455       0.284       
349         1600        0.793       0.452       0.285       
350         1600        0.793       0.462       0.283       
351         1600        0.793       0.451       0.284       
352         1600        0.793       0.461       0.281       
353         1600        0.793       0.449       0.286       
354         1600        0.822       0.466       0.283       
355         1600        0.823       0.463       0.281       
356         1600        0.823       0.467       0.283       
357         1600        0.823       0.468       0.286       
358         1600        0.823       0.455       0.290       
359         1600        0.823       0.460       0.290       
360         1600        0.823       0.474       0.287       
361         1600        0.823       0.454       0.289       
362         1600        0.833       0.470       0.288       
363         1600        0.823       0.463       0.287       
364         1600        0.823       0.477       0.288       
365         1600        0.843       0.469       0.290       
366         1600        0.854       0.478       0.290       
367         1600        0.854       0.467       0.292       
368         1600        0.854       0.466       0.296       
369         1600        0.854       0.472       0.293       
370         1600        0.854       0.477       0.288       
371         1600        0.854       0.481       0.294       
372         1600        0.854       0.463       0.297       
373         1600        0.854       0.462       0.296       
374         1600        0.897       0.465       0.295       
375         1600        0.854       0.479       0.295       
376         1600        0.860       0.480       0.298       
377         1600        0.860       0.458       0.300       
378         1600        0.860       0.473       0.301       
379         1600        0.860       0.466       0.297       
380         1600        0.860       0.469       0.299       
381         1600        0.866       0.469       0.304       
382         1600        0.866       0.460       0.308       
383         1600        0.866       0.461       0.307       
384         1600        0.917       0.470       0.307       
385         1600        0.917       0.466       0.308       
386         1600        0.917       0.461       0.311       
387         1600        0.934       0.469       0.312       
388         1600        0.934       0.479       0.310       
389         1600        0.934       0.474       0.309       
390         1600        0.934       0.469       0.311       
391         1600        0.934       0.472       0.314       
392         1600        0.922       0.477       0.311       
393         1600        0.922       0.481       0.314       
394         1600        0.922       0.477       0.315       
395         1600        0.924       0.489       0.307       
396         1600        0.932       0.489       0.316       
